[2026-06-07 23:28:28] [INFO    ] discord.client: logging in using static token
[2026-06-07 23:28:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'b96514654d8626de418370f328a1abed', 'members': [{'user': {'username': 'elfin21', 'public_flags': 0, 'primary_guild': None, 'id': '440184696811552769', 'global_name': 'Elfin21', 'display_name_styles': None, 'display_name': 'Elfin21', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6947ead9480f7b502802a7fc221b24a1'}, 'roles': ['1513405857096798359'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-06-08T04:35:07.660000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'habitJailor', 'public_flags': 0, 'primary_guild': None, 'id': '1512980962970046594', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1795', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1513401129004957871'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-06-08T04:35:46.881542+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1513400964843966604', 'chunk_index': 0, 'chunk_count': 1}}
[2026-06-07 23:28:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-07 23:28:29] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1513400964843966604.
[2026-06-07 23:28:31] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-06-07 23:28:31] [DEBUG   ] discord.client: Dispatching event ready
[2026-06-07 23:28:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_STATE_UPDATE', 's': 4, 'op': 0, 'd': {'member': {'user': {'username': 'elfin21', 'public_flags': 0, 'primary_guild': None, 'id': '440184696811552769', 'global_name': 'Elfin21', 'display_name_styles': None, 'display_name': 'Elfin21', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6947ead9480f7b502802a7fc221b24a1'}, 'roles': ['1513405857096798359'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-06-08T04:35:07.660000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'user_id': '440184696811552769', 'suppress': False, 'session_id': '3a252d3381952140b7b6e2a5811c5989', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'guild_id': '1513400964843966604', 'discoverable': True, 'deaf': False, 'connected_at': 1780900114, 'channel_id': '1513400964843966608'}}
[2026-06-07 23:28:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-07 23:28:34] [DEBUG   ] discord.client: Dispatching event voice_state_update
[2026-06-07 23:28:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_CHANNEL_START_TIME_UPDATE', 's': 5, 'op': 0, 'd': {'voice_start_time': 1780900114, 'id': '1513400964843966608', 'guild_id': '1513400964843966604'}}
[2026-06-07 23:28:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-07 23:28:34] [DEBUG   ] discord.gateway: Unknown event VOICE_CHANNEL_START_TIME_UPDATE.
[2026-06-07 23:28:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_STATE_UPDATE', 's': 6, 'op': 0, 'd': {'member': {'user': {'username': 'elfin21', 'public_flags': 0, 'primary_guild': None, 'id': '440184696811552769', 'global_name': 'Elfin21', 'display_name_styles': None, 'display_name': 'Elfin21', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6947ead9480f7b502802a7fc221b24a1'}, 'roles': ['1513405857096798359'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-06-08T04:35:07.660000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'user_id': '440184696811552769', 'suppress': False, 'session_id': '3a252d3381952140b7b6e2a5811c5989', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'guild_id': '1513400964843966604', 'discoverable': True, 'deaf': False, 'connected_at': 1780900114, 'channel_id': '1513420231907868792'}}
[2026-06-07 23:28:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-07 23:28:34] [DEBUG   ] discord.client: Dispatching event voice_state_update
[2026-06-07 23:28:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_CHANNEL_START_TIME_UPDATE', 's': 7, 'op': 0, 'd': {'voice_start_time': None, 'id': '1513400964843966608', 'guild_id': '1513400964843966604'}}
[2026-06-07 23:28:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-07 23:28:34] [DEBUG   ] discord.gateway: Unknown event VOICE_CHANNEL_START_TIME_UPDATE.
[2026-06-07 23:28:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_CHANNEL_STATUS_UPDATE', 's': 8, 'op': 0, 'd': {'status': None, 'id': '1513400964843966608', 'guild_id': '1513400964843966604'}}
[2026-06-07 23:28:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-07 23:28:34] [DEBUG   ] discord.gateway: Unknown event VOICE_CHANNEL_STATUS_UPDATE.
[2026-06-07 23:28:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_CHANNEL_START_TIME_UPDATE', 's': 9, 'op': 0, 'd': {'voice_start_time': 1780900114, 'id': '1513420231907868792', 'guild_id': '1513400964843966604'}}
[2026-06-07 23:28:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-07 23:28:34] [DEBUG   ] discord.gateway: Unknown event VOICE_CHANNEL_START_TIME_UPDATE.
[2026-06-07 23:28:34] [DEBUG   ] discord.http: PATCH https://discord.com/api/v10/guilds/1513400964843966604/members/440184696811552769 with {"channel_id":1513420231907868792} has returned 200
[2026-06-07 23:28:34] [DEBUG   ] discord.http: PATCH /guilds/{guild_id}/members/{user_id} has found its initial rate limit bucket hash (c7f060a5d9790cb6f53000110a7b7edf).
[2026-06-07 23:28:34] [DEBUG   ] discord.http: PATCH https://discord.com/api/v10/guilds/1513400964843966604/members/440184696811552769 has received {'avatar': None, 'banner': None, 'communication_disabled_until': None, 'flags': 0, 'joined_at': '2026-06-08T04:35:07.660000+00:00', 'nick': None, 'pending': False, 'premium_since': None, 'roles': ['1513405857096798359'], 'unusual_dm_activity_until': None, 'collectibles': None, 'display_name_styles': None, 'user': {'id': '440184696811552769', 'username': 'elfin21', 'avatar': '6947ead9480f7b502802a7fc221b24a1', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Elfin21', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'mute': False, 'deaf': False}
[2026-06-07 23:28:34] [DEBUG   ] discord.http: PATCH https://discord.com/api/v10/guilds/1513400964843966604/members/440184696811552769 with {"mute":true} has returned 403
[2026-06-07 23:28:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_STATE_UPDATE', 's': 10, 'op': 0, 'd': {'member': {'user': {'username': 'elfin21', 'public_flags': 0, 'primary_guild': None, 'id': '440184696811552769', 'global_name': 'Elfin21', 'display_name_styles': None, 'display_name': 'Elfin21', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6947ead9480f7b502802a7fc221b24a1'}, 'roles': ['1513405857096798359'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-06-08T04:35:07.660000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'user_id': '440184696811552769', 'suppress': False, 'session_id': '3a252d3381952140b7b6e2a5811c5989', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'guild_id': '1513400964843966604', 'discoverable': True, 'deaf': False, 'connected_at': 1780900114, 'channel_id': None}}
[2026-06-07 23:28:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-07 23:28:42] [DEBUG   ] discord.client: Dispatching event voice_state_update
[2026-06-07 23:28:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_CHANNEL_START_TIME_UPDATE', 's': 11, 'op': 0, 'd': {'voice_start_time': None, 'id': '1513420231907868792', 'guild_id': '1513400964843966604'}}
[2026-06-07 23:28:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-07 23:28:42] [DEBUG   ] discord.gateway: Unknown event VOICE_CHANNEL_START_TIME_UPDATE.
[2026-06-07 23:28:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_CHANNEL_STATUS_UPDATE', 's': 12, 'op': 0, 'd': {'status': None, 'id': '1513420231907868792', 'guild_id': '1513400964843966604'}}
[2026-06-07 23:28:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-07 23:28:42] [DEBUG   ] discord.gateway: Unknown event VOICE_CHANNEL_STATUS_UPDATE.
